city,state,dma_name,dma_code
MC CONNELLSTOWN,PA,JOHNSTOWN - ALTOONA,574
MC COY,VA,ROANOKE - LYNCHBURG,573
ORRVILLE,AL,MONTGOMERY (SELMA),698
MC CORMICK,SC,AUGUSTA,520
MC COOL JUNCTION,NE,LINCOLN & HSTNGS - KRNY,722
MC COOL,MS,"JACKSON, MS",718
ORRVILLE,OH,CLEVELAND - AKRON (CANTON),510
ORTING,WA,SEATTLE - TACOMA,819
ORTONVILLE,MI,DETROIT,505
MC COOK,NE,LINCOLN & HSTNGS - KRNY,722
MC CALLSBURG,IA,DES MOINES - AMES,679
MC CALL CREEK,MS,"JACKSON, MS",718
PALERMO,CA,CHICO - REDDING,868
OTIS,CO,DENVER,751
OSWEGO,KS,JOPLIN - PITTSBURG,603
MAYWOOD,IL,CHICAGO,602
MAYVILLE,NY,BUFFALO,514
MAYVILLE,ND,FARGO - VALLEY CITY,724
OSWEGO,NY,SYRACUSE,555
OSYKA,MS,"JACKSON, MS",718
MAYVILLE,MI,FLINT - SAGINAW - BAY CITY,513
OTHELLO,WA,SPOKANE,881
MAYTOWN,PA,HARRISBURG - LNCSTR - LEB - YORK,566
OSTRANDER,OH,"COLUMBUS, OH",535
OTIS,KS,WICHITA - HUTCHINSON PLUS,678
MAYSVILLE,WV,"WASHINGTON, DC (HAGRSTWN)",511
MAYSVILLE,OK,OKLAHOMA CITY,650
OTIS ORCHARDS,WA,SPOKANE,881
OTISVILLE,MI,FLINT - SAGINAW - BAY CITY,513
OTISVILLE,NY,NEW YORK,501
MAYSVILLE,NC,GREENVILLE - N. BERN - WASHNGTN,545
OTLEY,IA,DES MOINES - AMES,679
OTSEGO,MI,GRAND RAPIDS - KALMZOO - B. CRK,563
OSWEGO,IL,CHICAGO,602
OSTRANDER,MN,ROCHESTR - MASON CITY - AUSTIN,611
MC BAIN,MI,TRAVERSE CITY - CADILLAC,540
OSLO,MN,FARGO - VALLEY CITY,724
MC ALPIN,FL,TALLAHASSEE - THOMASVILLE,530
OSCO,IL,DAVENPORT - R. ISLAND - MOLINE,682
OSCODA,MI,FLINT - SAGINAW - BAY CITY,513
MC ALLISTER,MT,BUTTE - BOZEMAN,754
OSGOOD,IN,CINCINNATI,515
OSGOOD,OH,DAYTON,542
OSHKOSH,NE,DENVER,751
MC ADENVILLE,NC,CHARLOTTE,517
MAZON,IL,CHICAGO,602
MAZOMANIE,WI,MADISON,669
OSTERBURG,PA,JOHNSTOWN - ALTOONA,574
MAYWOOD,NE,LINCOLN & HSTNGS - KRNY,722
MAYWOOD,MO,QUINCY - HANNIBAL - KEOKUK,717
OSPREY,FL,TAMPA - ST. PETE (SARASOTA),539
OSSEO,MI,LANSING,551
OSSEO,WI,LA CROSSE - EAU CLAIRE,702
OSSIAN,IA,CEDAR RAPIDS - WTRLO - IWC&DUB,637
OSSINEKE,MI,ALPENA,583
OSSINING,NY,NEW YORK,501
OSTEEN,FL,ORLANDO - DAYTONA BCH - MELBRN,534
OROGRANDE,NM,ALBUQUERQUE - SANTA FE,790
MC DERMITT,NV,RENO,811
MC DONALD,KS,WICHITA - HUTCHINSON PLUS,678
MC INTYRE,GA,MACON,503
ORBISONIA,PA,JOHNSTOWN - ALTOONA,574
ORCAS,WA,SEATTLE - TACOMA,819
ORCHARD,CO,DENVER,751
ORCHARD,IA,ROCHESTR - MASON CITY - AUSTIN,611
MC KEES ROCKS,PA,PITTSBURGH,508
ORCHARD,TX,HOUSTON,618
ORCHARD HILL,GA,ATLANTA,524
ORCHARD PARK,NY,BUFFALO,514
MC INTYRE,PA,PITTSBURGH,508
ORD,NE,LINCOLN & HSTNGS - KRNY,722
ORANGEVILLE,UT,SALT LAKE CITY,770
MC INTOSH,FL,ORLANDO - DAYTONA BCH - MELBRN,534
ORDINARY,VA,NORFOLK - PORTSMTH - NEWPT NWS,544
ORDWAY,CO,COLORADO SPRINGS - PUEBLO,752
ORE CITY,TX,TYLER - LONGVIEW (LFKN & NCGD),709
OREANA,IL,CHAMPAIGN & SPRNGFLD - DECATUR,648
MC HENRY,MS,BILOXI - GULFPORT,746
OREFIELD,PA,PHILADELPHIA,504
OREGON,IL,ROCKFORD,610
OREGON,MO,KANSAS CITY,616
MC KENNEY,VA,RICHMOND - PETERSBURG,556
ORANGEVILLE,PA,WILKES BARRE - SCRANTON,577
OROFINO,ID,SPOKANE,881
ORANGE SPRINGS,FL,ORLANDO - DAYTONA BCH - MELBRN,534
MC LOUTH,KS,TOPEKA,605
MC LEOD,TX,SHREVEPORT,612
MC LEOD,MT,BILLINGS,756
MC LEMORESVILLE,TN,"JACKSON, TN",639
MC LEANSVILLE,NC,GREENSBORO - H. POINT - W. SALEM,518
MC LEANSBORO,IL,PADUCAH - CAPE GIRAR D - HARSBG,632
MC LEAN,NY,SYRACUSE,555
ORANGE LAKE,FL,ORLANDO - DAYTONA BCH - MELBRN,534
MC LEAN,IL,PEORIA - BLOOMINGTON,675
ORANGEBURG,NY,NEW YORK,501
MC KENZIE,AL,MONTGOMERY (SELMA),698
ORANGEFIELD,TX,BEAUMONT - PORT ARTHUR,692
ORANGEVALE,CA,SACRAMNTO - STKTN - MODESTO,862
MC LAUGHLIN,SD,MINOT - BISMARCK - DICKINSON,687
MC KNIGHTSTOWN,PA,HARRISBURG - LNCSTR - LEB - YORK,566
ORANGEVILLE,IL,ROCKFORD,610
MC KITTRICK,CA,BAKERSFIELD,800
MC KINNEY,KY,LEXINGTON,541
MC KENZIE,TN,"JACKSON, TN",639
ORANGEVILLE,OH,YOUNGSTOWN,536
MC HENRY,MD,PITTSBURGH,508
OREGON,WI,MADISON,669
OREGON CITY,OR,"PORTLAND, OR",820
MC ELHATTAN,PA,WILKES BARRE - SCRANTON,577
ORLA,TX,ODESSA - MIDLAND,633
MC FARLAND,CA,BAKERSFIELD,800
ORLAND,CA,CHICO - REDDING,868
ORLAND,IN,FT. WAYNE,509
MC FARLAN,NC,CHARLOTTE,517
MC FALL,MO,KANSAS CITY,616
MC EWENSVILLE,PA,WILKES BARRE - SCRANTON,577
ORLANDO,OK,OKLAHOMA CITY,650
MC EWEN,TN,NASHVILLE,659
MC DOUGAL,AR,JONESBORO,734
MC HENRY,KY,EVANSVILLE,649
ORLEAN,VA,"WASHINGTON, DC (HAGRSTWN)",511
ORLEANS,CA,EUREKA,802
ORLEANS,IN,LOUISVILLE,529
ORLEANS,MI,GRAND RAPIDS - KALMZOO - B. CRK,563
ORLEANS,NE,LINCOLN & HSTNGS - KRNY,722
MC DONALD,TN,CHATTANOOGA,575
ORMSBY,MN,MANKATO,737
ORO GRANDE,CA,LOS ANGELES,803
ORKNEY SPRINGS,VA,"WASHINGTON, DC (HAGRSTWN)",511
ORISKANY FALLS,NY,UTICA,526
ORISKANY,NY,UTICA,526
MC FARLAND,KS,TOPEKA,605
OREGON HOUSE,CA,SACRAMNTO - STKTN - MODESTO,862
MC GUFFEY,OH,"COLUMBUS, OH",535
MC GREGOR,IA,CEDAR RAPIDS - WTRLO - IWC&DUB,637
ORESTES,IN,INDIANAPOLIS,527
MC GRAW,NY,SYRACUSE,555
ORGAN,NM,EL PASO (LAS CRUCES),765
MC GRATH,MN,MINNEAPOLIS - ST. PAUL,613
MC GRANN,PA,PITTSBURGH,508
ORGAS,WV,CHARLESTON - HUNTINGTON,564
ORICK,CA,EUREKA,802
MC GRADY,NC,GREENSBORO - H. POINT - W. SALEM,518
MC GIRK,MO,COLUMBIA - JEFFERSON CITY,604
MC GILL,NV,SALT LAKE CITY,770
MC GEHEE,AR,LITTLE ROCK - PINE BLUFF,693
ORIENTAL,NC,GREENVILLE - N. BERN - WASHNGTN,545
ORINDA,CA,SAN FRANCISCO - OAK - SAN JOSE,807
ORION,IL,DAVENPORT - R. ISLAND - MOLINE,682
MC GAHEYSVILLE,VA,HARRISONBURG,569
ORISKA,ND,FARGO - VALLEY CITY,724
MAYSVILLE,KY,CINCINNATI,515
MAYSVILLE,GA,ATLANTA,524
OTTAWA,IL,CHICAGO,602
MATTAWANA,PA,HARRISBURG - LNCSTR - LEB - YORK,566
MATTITUCK,NY,NEW YORK,501
OZONE PARK,NY,NEW YORK,501
PABLO,MT,MISSOULA,762
PACE,MS,GREENWOOD - GREENVILLE,647
PACHUTA,MS,MERIDIAN,711
MATTHEWS,MO,PADUCAH - CAPE GIRAR D - HARSBG,632
MATTHEWS,IN,INDIANAPOLIS,527
PACIFIC,MO,ST. LOUIS,609
PACIFIC BEACH,WA,SEATTLE - TACOMA,819
PACIFIC CITY,OR,"PORTLAND, OR",820
MATTOON,WI,GREEN BAY - APPLETON,658
PACIFIC GROVE,CA,MONTEREY - SALINAS,828
PACIFIC PALISADES,CA,LOS ANGELES,803
MATTAWAN,MI,GRAND RAPIDS - KALMZOO - B. CRK,563
PACIFICA,CA,SAN FRANCISCO - OAK - SAN JOSE,807
PACKWAUKEE,WI,MADISON,669
PACKWOOD,IA,OTTUMWA - KIRKSVILLE,631
PACKWOOD,WA,SEATTLE - TACOMA,819
MATTAPONI,VA,RICHMOND - PETERSBURG,556
PACOLET,SC,GREENVLL - SPART - ASHEVLL - AND,567
MATTOON,IL,CHAMPAIGN & SPRNGFLD - DECATUR,648
MAUD,OK,OKLAHOMA CITY,650
MAURY,NC,GREENVILLE - N. BERN - WASHNGTN,545
MAUMELLE,AR,LITTLE ROCK - PINE BLUFF,693
OYENS,IA,SIOUX CITY,624
OYSTER BAY,NY,NEW YORK,501
MAURICE,LA,"LAFAYETTE, LA",642
MAURICE,IA,SIOUX CITY,624
OYSTERVILLE,WA,SEATTLE - TACOMA,819
MAUREPAS,LA,BATON ROUGE,716
MAUPIN,OR,"PORTLAND, OR",820
MAUNIE,IL,EVANSVILLE,649
MAUNALOA,HI,HONOLULU,744
OZARK,AR,FT. SMITH - FAY - SPRNGDL - RGRS,670
OZONE,AR,FT. SMITH - FAY - SPRNGDL - RGRS,670
MAUMEE,OH,TOLEDO,547
MAULDIN,SC,GREENVLL - SPART - ASHEVLL - AND,567
OZARK,IL,PADUCAH - CAPE GIRAR D - HARSBG,632
MAUK,GA,"COLUMBUS, GA",522
MAUGANSVILLE,MD,"WASHINGTON, DC (HAGRSTWN)",511
OZAWKIE,KS,TOPEKA,605
OZONA,FL,TAMPA - ST. PETE (SARASOTA),539
OZONA,TX,SAN ANGELO,661
MAUD,TX,SHREVEPORT,612
PACOLET MILLS,SC,GREENVLL - SPART - ASHEVLL - AND,567
PADEN,OK,TULSA,671
MATOAKA,WV,BLUEFIELD - BECKLEY - OAK HILL,559
PAISLEY,OR,MEDFORD - KLAMATH FALLS,813
PAINTED POST,NY,ELMIRA (CORNING),565
MATHERVILLE,IL,DAVENPORT - R. ISLAND - MOLINE,682
MATHER,WI,MADISON,669
MATHER,PA,PITTSBURGH,508
MATEWAN,WV,CHARLESTON - HUNTINGTON,564
MATAMORAS,PA,NEW YORK,501
MATADOR,TX,LUBBOCK,651
MASURY,OH,YOUNGSTOWN,536
PAISLEY,FL,ORLANDO - DAYTONA BCH - MELBRN,534
PALA,CA,SAN DIEGO,825
PADEN CITY,WV,WHEELING - STEUBENVILLE,554
PALACIOS,TX,HOUSTON,618
MASTIC BEACH,NY,NEW YORK,501
PALATINE BRIDGE,NY,ALBANY - SCHENECTADY - TROY,532
MASTIC,NY,NEW YORK,501
PALCO,KS,WICHITA - HUTCHINSON PLUS,678
MASSENA,NY,WATERTOWN,549
MASSENA,IA,OMAHA,652
MASSAPEQUA PARK,NY,NEW YORK,501
PALENVILLE,NY,ALBANY - SCHENECTADY - TROY,532
PAINT ROCK,TX,SAN ANGELO,661
PAINT ROCK,AL,HUNTSVILLE - DECATUR (FLOR),691
PAINESDALE,MI,MARQUETTE,553
PAINCOURTVILLE,LA,BATON ROUGE,716
MATLOCK,WA,SEATTLE - TACOMA,819
PADUCAH,TX,AMARILLO,634
PAGE,AZ,PHOENIX (PRESCOTT),753
PAGE,ND,FARGO - VALLEY CITY,724
MATHISTON,MS,COLUMBUS - TUPELO - WEST POINT,673
MATHIS,TX,CORPUS CHRISTI,600
PAGE,NE,LINCOLN & HSTNGS - KRNY,722
PAGELAND,SC,CHARLOTTE,517
PAGETON,WV,BLUEFIELD - BECKLEY - OAK HILL,559
MATHIAS,WV,"WASHINGTON, DC (HAGRSTWN)",511
PAGUATE,NM,ALBUQUERQUE - SANTA FE,790
PAHALA,HI,HONOLULU,744
PAHOA,HI,HONOLULU,744
MATHEWS,LA,NEW ORLEANS,622
PAHOKEE,FL,WEST PALM BEACH - FT. PIERCE,548
MATHESON,CO,DENVER,751
PAIA,HI,HONOLULU,744
PAICINES,CA,MONTEREY - SALINAS,828
PAIGE,TX,AUSTIN,635
MAURICEVILLE,TX,BEAUMONT - PORT ARTHUR,692
MAURY CITY,TN,MEMPHIS,640
OTTAWA,OH,LIMA,558
OVERGAARD,AZ,PHOENIX (PRESCOTT),753
OUTLOOK,MT,MINOT - BISMARCK - DICKINSON,687
OUTLOOK,WA,YAKIMA - PASCO - RCHLND - KNNWCK,810
MAYNARD,MN,MINNEAPOLIS - ST. PAUL,613
OVALO,TX,ABILENE - SWEETWATER,662
MAYNARD,IA,CEDAR RAPIDS - WTRLO - IWC&DUB,637
OVANDO,MT,BUTTE - BOZEMAN,754
OVERBROOK,KS,TOPEKA,605
MAYNARD,AR,JONESBORO,734
OVERBROOK,OK,SHERMAN - ADA,657
MAYHILL,NM,ALBUQUERQUE - SANTA FE,790
MAYNARD,OH,WHEELING - STEUBENVILLE,554
OVERPECK,OH,CINCINNATI,515
OVERTON,NE,LINCOLN & HSTNGS - KRNY,722
OVERTON,NV,LAS VEGAS,839
MAYFLOWER,AR,LITTLE ROCK - PINE BLUFF,693
MAYFIELD,UT,SALT LAKE CITY,770
OVERTON,TX,TYLER - LONGVIEW (LFKN & NCGD),709
OVETT,MS,HATTIESBURG - LAUREL,710
OVID,MI,LANSING,551
OVID,NY,SYRACUSE,555
OUTING,MN,MINNEAPOLIS - ST. PAUL,613
OURAY,CO,DENVER,751
MAUSTON,WI,MADISON,669
OTTERTAIL,MN,FARGO - VALLEY CITY,724
MAYSLICK,KY,CINCINNATI,515
MAYSEL,WV,CHARLESTON - HUNTINGTON,564
MAYPORT,PA,PITTSBURGH,508
OTTAWA,WV,CHARLESTON - HUNTINGTON,564
MAYPEARL,TX,DALLAS - FT. WORTH,623
OTTER,MT,BILLINGS,756
MAYODAN,NC,GREENSBORO - H. POINT - W. SALEM,518
OTTER CREEK,FL,GAINESVILLE,592
OTTER LAKE,MI,DETROIT,505
OTTERVILLE,MO,COLUMBIA - JEFFERSON CITY,604
MAYNARDVILLE,TN,KNOXVILLE,557
OTTO,NC,GREENVLL - SPART - ASHEVLL - AND,567
OTTO,NY,BUFFALO,514
OTTOVILLE,OH,LIMA,558
OTTSVILLE,PA,PHILADELPHIA,504
OTTUMWA,IA,OTTUMWA - KIRKSVILLE,631
MAYO,SC,GREENVLL - SPART - ASHEVLL - AND,567
OTWELL,IN,EVANSVILLE,649
MAYO,MD,BALTIMORE,512
MAYO,FL,TALLAHASSEE - THOMASVILLE,530
MAYFIELD,NY,ALBANY - SCHENECTADY - TROY,532
OWASSO,OK,TULSA,671
OWATONNA,MN,MINNEAPOLIS - ST. PAUL,613
OXFORD,KS,WICHITA - HUTCHINSON PLUS,678
MAXWELL,NE,NORTH PLATTE,740
MAXWELL,IN,INDIANAPOLIS,527
OWYHEE,NV,SALT LAKE CITY,770
OXBOW,OR,"PORTLAND, OR",820
MAXWELL,IA,DES MOINES - AMES,679
MAXWELL,CA,SACRAMNTO - STKTN - MODESTO,862
MAXTON,NC,MYRTLE BEACH - FLORENCE,570
OXFORD,FL,ORLANDO - DAYTONA BCH - MELBRN,534
MAXIMO,OH,CLEVELAND - AKRON (CANTON),510
MAXIE,VA,"TRI - CITIES, TN - VA",531
OWEGO,NY,BINGHAMTON,502
MAXATAWNY,PA,PHILADELPHIA,504
OXFORD,NC,RALEIGH - DURHAM (FAYETVLLE),560
MAX MEADOWS,VA,ROANOKE - LYNCHBURG,573
OXFORD,NE,LINCOLN & HSTNGS - KRNY,722
OXFORD,NY,BINGHAMTON,502
MAVISDALE,VA,"TRI - CITIES, TN - VA",531
OXFORD,OH,CINCINNATI,515
OXFORD,PA,PHILADELPHIA,504
OXFORD JUNCTION,IA,CEDAR RAPIDS - WTRLO - IWC&DUB,637
OWOSSO,MI,FLINT - SAGINAW - BAY CITY,513
OWLS HEAD,NY,BURLINGTON - PLATTSBURGH,523
MAXWELL,NM,ALBUQUERQUE - SANTA FE,790
MAXWELL,TX,AUSTIN,635
MAYFIELD,KS,WICHITA - HUTCHINSON PLUS,678
MAYETTA,KS,TOPEKA,605
MAYESVILLE,SC,"COLUMBIA, SC",546
OWENDALE,MI,FLINT - SAGINAW - BAY CITY,513
MAYERSVILLE,MS,"JACKSON, MS",718
MAYER,MN,MINNEAPOLIS - ST. PAUL,613
MAYER,AZ,PHOENIX (PRESCOTT),753
MAYDELLE,TX,TYLER - LONGVIEW (LFKN & NCGD),709
MAYBROOK,NY,NEW YORK,501
OWENS CROSS ROADS,AL,HUNTSVILLE - DECATUR (FLOR),691
MAYBEURY,WV,BLUEFIELD - BECKLEY - OAK HILL,559
OWENSVILLE,IN,EVANSVILLE,649
OWENSVILLE,MO,ST. LOUIS,609
OWENTON,KY,CINCINNATI,515
MAYBELL,CO,DENVER,751
MAYBEE,MI,DETROIT,505
OWINGS,MD,"WASHINGTON, DC (HAGRSTWN)",511
MAXWELTON,WV,BLUEFIELD - BECKLEY - OAK HILL,559
OWINGS MILLS,MD,BALTIMORE,512
PARADISE,PA,HARRISBURG - LNCSTR - LEB - YORK,566
PAWHUSKA,OK,TULSA,671
PARADISE,TX,DALLAS - FT. WORTH,623
PICABO,ID,TWIN FALLS,760
PHILOMONT,VA,"WASHINGTON, DC (HAGRSTWN)",511
PHILPOT,KY,EVANSVILLE,649
PHLOX,WI,WAUSAU - RHINELANDER,705
PHOENICIA,NY,NEW YORK,501
PHOENIX,MD,BALTIMORE,512
PHOENIX,NY,SYRACUSE,555
MALDEN ON HUDSON,NY,NEW YORK,501
MALDEN BRIDGE,NY,ALBANY - SCHENECTADY - TROY,532
PHOENIXVILLE,PA,PHILADELPHIA,504
PIASA,IL,ST. LOUIS,609
MALDEN,WA,SPOKANE,881
PICACHO,NM,ALBUQUERQUE - SANTA FE,790
PICKSTOWN,SD,SIOUX FALLS (MITCHELL),725
PICAYUNE,MS,NEW ORLEANS,622
PICKENS,AR,LITTLE ROCK - PINE BLUFF,693
PICKENS,OK,SHREVEPORT,612
MALDEN,IL,DAVENPORT - R. ISLAND - MOLINE,682
MALCOM,IA,DES MOINES - AMES,679
MALCOLM,NE,LINCOLN & HSTNGS - KRNY,722
PICKEREL,WI,WAUSAU - RHINELANDER,705
PICKERINGTON,OH,"COLUMBUS, OH",535
MALCOLM,AL,MOBILE - PENSACOLA (FT WALT),686
PICKETT,WI,GREEN BAY - APPLETON,658
PICKFORD,MI,TRAVERSE CITY - CADILLAC,540
PHILOMATH,OR,EUGENE,801
PHILO,OH,ZANESVILLE,596
MALIN,OR,MEDFORD - KLAMATH FALLS,813
PHILO,IL,CHAMPAIGN & SPRNGFLD - DECATUR,648
PHIL CAMPBELL,AL,HUNTSVILLE - DECATUR (FLOR),691
MALONE,TX,DALLAS - FT. WORTH,623
PHILADELPHIA,MO,QUINCY - HANNIBAL - KEOKUK,717
PHILADELPHIA,NY,WATERTOWN,549
MALONE,NY,BURLINGTON - PLATTSBURGH,523
MALONE,KY,LEXINGTON,541
PHILADELPHIA,TN,KNOXVILLE,557
MALONE,FL,PANAMA CITY,656
MALO,WA,SPOKANE,881
PHILIPPI,WV,CLARKSBURG - WESTON,598
PHILIPSBURG,MT,MISSOULA,762
MALMO,NE,OMAHA,652
PHILLIPS,NE,LINCOLN & HSTNGS - KRNY,722
PHILLIPS,WI,WAUSAU - RHINELANDER,705
MALLORY,WV,CHARLESTON - HUNTINGTON,564
PHILLIPSBURG,OH,DAYTON,542
PHILLIPSPORT,NY,NEW YORK,501
MALLORY,NY,SYRACUSE,555
MALJAMAR,NM,ALBUQUERQUE - SANTA FE,790
MALINTA,OH,TOLEDO,547
PHILLIPSVILLE,CA,EUREKA,802
PHILMONT,NY,ALBANY - SCHENECTADY - TROY,532
PHILO,CA,SAN FRANCISCO - OAK - SAN JOSE,807
PICKRELL,NE,LINCOLN & HSTNGS - KRNY,722
MALAKOFF,TX,DALLAS - FT. WORTH,623
MALOTT,WA,SPOKANE,881
MAIDEN ROCK,WI,LA CROSSE - EAU CLAIRE,702
PIERMONT,NY,NEW YORK,501
PIERPONT,OH,CLEVELAND - AKRON (CANTON),510
PIERPONT,SD,SIOUX FALLS (MITCHELL),725
PIERRE,SD,SIOUX FALLS (MITCHELL),725
MAINESBURG,PA,ELMIRA (CORNING),565
PIERRE PART,LA,BATON ROUGE,716
MAIDSVILLE,WV,PITTSBURGH,508
PIERREPONT MANOR,NY,WATERTOWN,549
PIERRON,IL,ST. LOUIS,609
PIERSON,MI,GRAND RAPIDS - KALMZOO - B. CRK,563
PIGEON,MI,FLINT - SAGINAW - BAY CITY,513
MALAGA,WA,SEATTLE - TACOMA,819
PIGEON FALLS,WI,LA CROSSE - EAU CLAIRE,702
MAIDEN,NC,CHARLOTTE,517
MAHOPAC FALLS,NY,NEW YORK,501
MAHNOMEN,MN,FARGO - VALLEY CITY,724
MAHASKA,KS,TOPEKA,605
MAHANOY CITY,PA,WILKES BARRE - SCRANTON,577
MAHAFFEY,PA,JOHNSTOWN - ALTOONA,574
MAGNOLIA SPRINGS,AL,MOBILE - PENSACOLA (FT WALT),686
PIKE,NY,BUFFALO,514
MAGNOLIA,OH,CLEVELAND - AKRON (CANTON),510
PIERCEVILLE,IN,CINCINNATI,515
PIERCETON,IN,SOUTH BEND - ELKHART,588
MAINEVILLE,OH,CINCINNATI,515
PIERCE,TX,HOUSTON,618
MALAGA,NM,ALBUQUERQUE - SANTA FE,790
PICKTON,TX,DALLAS - FT. WORTH,623
PICKWICK DAM,TN,"JACKSON, TN",639
MALABAR,FL,ORLANDO - DAYTONA BCH - MELBRN,534
PICTURE ROCKS,PA,WILKES BARRE - SCRANTON,577
PIE TOWN,NM,ALBUQUERQUE - SANTA FE,790
PIEDMONT,AL,BIRMINGHAM (ANN & TUSC),630
MAKOTI,ND,MINOT - BISMARCK - DICKINSON,687
PIEDMONT,KS,WICHITA - HUTCHINSON PLUS,678
MAKAWELI,HI,HONOLULU,744
PIEDMONT,OK,OKLAHOMA CITY,650
MAKANDA,IL,PADUCAH - CAPE GIRAR D - HARSBG,632
MAJESTIC,KY,CHARLESTON - HUNTINGTON,564
PIEDMONT,SC,GREENVLL - SPART - ASHEVLL - AND,567
PIEDMONT,SD,RAPID CITY,764
MAIZE,KS,WICHITA - HUTCHINSON PLUS,678
MAITLAND,MO,KANSAS CITY,616
PIEDRA,CA,FRESNO - VISALIA,866
PIERCE,CO,DENVER,751
PIERCE,ID,SPOKANE,881
MAITLAND,FL,ORLANDO - DAYTONA BCH - MELBRN,534
PIERCE,NE,SIOUX CITY,624
MALONE,WI,GREEN BAY - APPLETON,658
MALTA,ID,TWIN FALLS,760
PARADISE,UT,SALT LAKE CITY,770
PESOTUM,IL,CHAMPAIGN & SPRNGFLD - DECATUR,648
MANDERSON,WY,BILLINGS,756
MANDERSON,SD,RAPID CITY,764
MANDAREE,ND,MINOT - BISMARCK - DICKINSON,687
PERSIA,IA,OMAHA,652
PERU,KS,TULSA,671
PERU,NE,OMAHA,652
MANCOS,CO,ALBUQUERQUE - SANTA FE,790
PERU,NY,BURLINGTON - PLATTSBURGH,523
PESCADERO,CA,SAN FRANCISCO - OAK - SAN JOSE,807
MANCHESTER,WA,SEATTLE - TACOMA,819
MANCHESTER,PA,HARRISBURG - LNCSTR - LEB - YORK,566
MANCHESTER,OK,OKLAHOMA CITY,650
PETERSBURG,MI,DETROIT,505
PETAL,MS,HATTIESBURG - LAUREL,710
MANCHESTER,OH,CINCINNATI,515
PETERBORO,NY,SYRACUSE,555
PETERMAN,AL,MOBILE - PENSACOLA (FT WALT),686
MANCHESTER,NY,"ROCHESTER, NY",538
PETERSBURG,IL,CHAMPAIGN & SPRNGFLD - DECATUR,648
MANCHESTER,MO,ST. LOUIS,609
PETERSBURG,IN,EVANSVILLE,649
MANCHESTER,MI,DETROIT,505
MANCHESTER,MD,BALTIMORE,512
MANCHESTER,KY,LEXINGTON,541
PERSHING,IN,DAYTON,542
MANGHAM,LA,MONROE - EL DORADO,628
PERRYVILLE,MD,BALTIMORE,512
MANGO,FL,TAMPA - ST. PETE (SARASOTA),539
MANITO,IL,PEORIA - BLOOMINGTON,675
MANISTIQUE,MI,MARQUETTE,553
PERRY,MI,FLINT - SAGINAW - BAY CITY,513
PERRY,MO,QUINCY - HANNIBAL - KEOKUK,717
MANILLA,IN,INDIANAPOLIS,527
MANILLA,IA,OMAHA,652
MANILA,UT,SALT LAKE CITY,770
MANILA,AR,MEMPHIS,640
MANHEIM,PA,HARRISBURG - LNCSTR - LEB - YORK,566
PERRY,NY,BUFFALO,514
PERRY,OK,OKLAHOMA CITY,650
PERRY PARK,KY,CINCINNATI,515
PERRY POINT,MD,BALTIMORE,512
PERRYMAN,MD,BALTIMORE,512
MANHATTAN,NV,LAS VEGAS,839
MANHATTAN,MT,BUTTE - BOZEMAN,754
MANHATTAN,IL,CHICAGO,602
MANHASSET,NY,NEW YORK,501
PERRYSBURG,NY,BUFFALO,514
PERRYSVILLE,IN,TERRE HAUTE,581
PERRYSVILLE,OH,CLEVELAND - AKRON (CANTON),510
PERRYTON,TX,AMARILLO,634
PERRYVILLE,AR,LITTLE ROCK - PINE BLUFF,693
MANCHESTER,IL,QUINCY - HANNIBAL - KEOKUK,717
MALTA,MT,GREAT FALLS,755
PFAFFTOWN,NC,GREENSBORO - H. POINT - W. SALEM,518
MANASSA,CO,DENVER,751
PEWEE VALLEY,KY,LOUISVILLE,529
MANAKIN SABOT,VA,RICHMOND - PETERSBURG,556
MAN,WV,CHARLESTON - HUNTINGTON,564
PEYTON,CO,COLORADO SPRINGS - PUEBLO,752
PEYTONA,WV,CHARLESTON - HUNTINGTON,564
MAMOU,LA,"LAFAYETTE, LA",642
MAMMOTH SPRING,AR,"SPRINGFIELD, MO",619
MAMMOTH LAKES,CA,RENO,811
MAMMOTH,WV,CHARLESTON - HUNTINGTON,564
MAMMOTH,PA,PITTSBURGH,508
MAMMOTH,AZ,PHOENIX (PRESCOTT),753
PETERSBURG,NE,LINCOLN & HSTNGS - KRNY,722
MAMERS,NC,RALEIGH - DURHAM (FAYETVLLE),560
PHEBA,MS,COLUMBUS - TUPELO - WEST POINT,673
MAMARONECK,NY,NEW YORK,501
MALVERNE,NY,NEW YORK,501
MALVERN,PA,PHILADELPHIA,504
MALVERN,OH,CLEVELAND - AKRON (CANTON),510
PHELPS,NY,"ROCHESTER, NY",538
MALVERN,AR,LITTLE ROCK - PINE BLUFF,693
MALTA BEND,MO,KANSAS CITY,616
MALTA,OH,"COLUMBUS, OH",535
PHELPS,WI,WAUSAU - RHINELANDER,705
PEWAMO,MI,GRAND RAPIDS - KALMZOO - B. CRK,563
PEVELY,MO,ST. LOUIS,609
PETTY,TX,DALLAS - FT. WORTH,623
PETTUS,TX,CORPUS CHRISTI,600
PETERSBURG,NY,ALBANY - SCHENECTADY - TROY,532
PETERSBURG,OH,YOUNGSTOWN,536
PETERSBURG,TN,HUNTSVILLE - DECATUR (FLOR),691
PETERSBURG,TX,LUBBOCK,651
MANCHESTER,CA,SAN FRANCISCO - OAK - SAN JOSE,807
PETERSBURG,WV,"WASHINGTON, DC (HAGRSTWN)",511
